

Idaho (PST) SNOTEL Site Deadwood Summit - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Mon Jun 24 13:50:08 GMT-08:00 2019. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,WTEQ.I-2 (in) ,
439,2009-10-01,,     0.0,     0.5,
439,2009-10-02,,     0.0,     0.6,
439,2009-10-03,,     0.0,     0.6,
439,2009-10-04,,     0.4,     1.0,
439,2009-10-05,,     1.3,     1.9,
439,2009-10-06,,     1.3,     1.9,
439,2009-10-07,,     1.3,     1.9,
439,2009-10-08,,     1.3,     1.9,
439,2009-10-09,,     1.2,     1.8,
439,2009-10-10,,     1.2,     1.8,
439,2009-10-11,,     1.2,     1.7,
439,2009-10-12,,     1.2,     1.7,
439,2009-10-13,,     1.3,     1.8,
439,2009-10-14,,     1.9,     2.5,
439,2009-10-15,,     2.3,     2.8,
439,2009-10-16,,     1.9,     2.4,
439,2009-10-17,,     1.7,     2.2,
439,2009-10-18,,     1.4,     1.9,
439,2009-10-19,,     1.0,     1.5,
439,2009-10-20,,     0.9,     1.4,
439,2009-10-21,,     0.7,     1.3,
439,2009-10-22,,     0.7,     1.3,
439,2009-10-23,,     0.7,     1.2,
439,2009-10-24,,     0.6,     1.0,
439,2009-10-25,,     0.3,     0.9,
439,2009-10-26,,     0.4,     1.0,
439,2009-10-27,,     0.6,     0.6,
439,2009-10-28,,     0.5,     0.6,
439,2009-10-29,,     0.5,     0.5,
439,2009-10-30,,     0.8,     0.8,
439,2009-10-31,,     0.9,     0.8,
439,2009-11-01,,     1.0,     0.9,
439,2009-11-02,,     1.0,     0.9,
439,2009-11-03,,     1.0,     0.8,
439,2009-11-04,,     0.9,     0.8,
439,2009-11-05,,     0.9,     0.8,
439,2009-11-06,,     1.0,     0.8,
439,2009-11-07,,     1.5,     1.4,
439,2009-11-08,,     1.5,     1.5,
439,2009-11-09,,     1.5,     1.5,
439,2009-11-10,,     1.6,     1.5,
439,2009-11-11,,     1.6,     1.5,
439,2009-11-12,,     2.5,     2.4,
439,2009-11-13,,     2.7,     2.7,
439,2009-11-14,,     2.9,     3.0,
439,2009-11-15,,     3.0,     3.0,
439,2009-11-16,,     3.1,     3.2,
439,2009-11-17,,     3.1,     3.1,
439,2009-11-18,,     3.2,     3.2,
439,2009-11-19,,     3.2,     3.3,
439,2009-11-20,,     3.2,     3.3,
439,2009-11-21,,     3.8,     3.8,
439,2009-11-22,,     3.9,     3.9,
439,2009-11-23,,     4.7,     4.7,
439,2009-11-24,,     4.7,     4.7,
439,2009-11-25,,     4.7,     4.7,
439,2009-11-26,,     4.7,     4.7,
439,2009-11-27,,     4.8,     4.7,
439,2009-11-28,,     4.8,     5.0,
439,2009-11-29,,     4.8,     5.0,
439,2009-11-30,,     4.8,     5.0,
439,2009-12-01,,     4.8,     4.9,
439,2009-12-02,,     4.8,     4.6,
439,2009-12-03,,     4.8,     4.5,
439,2009-12-04,,     4.8,     4.7,
439,2009-12-05,,     4.8,     4.4,
439,2009-12-06,,     4.8,     4.6,
439,2009-12-07,,     4.8,     5.6,
439,2009-12-08,,     4.8,     3.2,
439,2009-12-09,,     4.8,     3.0,
439,2009-12-10,,     4.8,     4.3,
439,2009-12-11,,     4.8,     4.6,
