"","POSIXct","inds","stat","statArg","variable","value","variableGroup","fileGroup"
"1",2009-10-01 00:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"2",2009-10-01 01:00:00,"1:1","-","-","streamflow",0.0199999995529652,"Q","hydro"
"3",2009-10-01 02:00:00,"1:1","-","-","streamflow",0.0299999993294477,"Q","hydro"
"4",2009-10-01 03:00:00,"1:1","-","-","streamflow",0.0199999995529652,"Q","hydro"
"5",2009-10-01 04:00:00,"1:1","-","-","streamflow",0.0199999995529652,"Q","hydro"
"6",2009-10-01 05:00:00,"1:1","-","-","streamflow",0.0199999995529652,"Q","hydro"
"7",2009-10-01 06:00:00,"1:1","-","-","streamflow",0.00999999977648258,"Q","hydro"
"8",2009-10-01 07:00:00,"1:1","-","-","streamflow",0.00999999977648258,"Q","hydro"
"9",2009-10-01 08:00:00,"1:1","-","-","streamflow",0.00999999977648258,"Q","hydro"
"10",2009-10-01 09:00:00,"1:1","-","-","streamflow",0.00999999977648258,"Q","hydro"
"11",2009-10-01 10:00:00,"1:1","-","-","streamflow",0.00999999977648258,"Q","hydro"
"12",2009-10-01 11:00:00,"1:1","-","-","streamflow",0.00999999977648258,"Q","hydro"
"13",2009-10-01 12:00:00,"1:1","-","-","streamflow",0.00999999977648258,"Q","hydro"
"14",2009-10-01 13:00:00,"1:1","-","-","streamflow",0.00999999977648258,"Q","hydro"
"15",2009-10-01 14:00:00,"1:1","-","-","streamflow",0.00999999977648258,"Q","hydro"
"16",2009-10-01 15:00:00,"1:1","-","-","streamflow",0.00999999977648258,"Q","hydro"
"17",2009-10-01 16:00:00,"1:1","-","-","streamflow",0.00999999977648258,"Q","hydro"
"18",2009-10-01 17:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"19",2009-10-01 18:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"20",2009-10-01 19:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"21",2009-10-01 20:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"22",2009-10-01 21:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"23",2009-10-01 22:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"24",2009-10-01 23:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"25",2009-10-02 00:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"26",2009-10-02 01:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"27",2009-10-02 02:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"28",2009-10-02 03:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"29",2009-10-02 04:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"30",2009-10-02 05:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"31",2009-10-02 06:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"32",2009-10-02 07:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"33",2009-10-02 08:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"34",2009-10-02 09:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"35",2009-10-02 10:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"36",2009-10-02 11:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"37",2009-10-02 12:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"38",2009-10-02 13:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"39",2009-10-02 14:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"40",2009-10-02 15:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"41",2009-10-02 16:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"42",2009-10-02 17:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"43",2009-10-02 18:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"44",2009-10-02 19:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"45",2009-10-02 20:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"46",2009-10-02 21:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"47",2009-10-02 22:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"48",2009-10-02 23:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"49",2009-10-03 00:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"50",2009-10-03 01:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"51",2009-10-03 02:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"52",2009-10-03 03:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"53",2009-10-03 04:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"54",2009-10-03 05:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"55",2009-10-03 06:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"56",2009-10-03 07:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"57",2009-10-03 08:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"58",2009-10-03 09:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"59",2009-10-03 10:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"60",2009-10-03 11:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"61",2009-10-03 12:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"62",2009-10-03 13:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"63",2009-10-03 14:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"64",2009-10-03 15:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"65",2009-10-03 16:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"66",2009-10-03 17:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"67",2009-10-03 18:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"68",2009-10-03 19:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"69",2009-10-03 20:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"70",2009-10-03 21:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"71",2009-10-03 22:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"72",2009-10-03 23:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"73",2009-10-04 00:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"74",2009-10-04 01:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"75",2009-10-04 02:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"76",2009-10-04 03:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"77",2009-10-04 04:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"78",2009-10-04 05:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"79",2009-10-04 06:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"80",2009-10-04 07:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"81",2009-10-04 08:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"82",2009-10-04 09:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"83",2009-10-04 10:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"84",2009-10-04 11:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"85",2009-10-04 12:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"86",2009-10-04 13:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"87",2009-10-04 14:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"88",2009-10-04 15:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"89",2009-10-04 16:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"90",2009-10-04 17:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"91",2009-10-04 18:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"92",2009-10-04 19:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"93",2009-10-04 20:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"94",2009-10-04 21:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"95",2009-10-04 22:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"96",2009-10-04 23:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"97",2009-10-05 00:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"98",2009-10-05 01:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"99",2009-10-05 02:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"100",2009-10-05 03:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"101",2009-10-05 04:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"102",2009-10-05 05:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"103",2009-10-05 06:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"104",2009-10-05 07:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"105",2009-10-05 08:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"106",2009-10-05 09:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"107",2009-10-05 10:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"108",2009-10-05 11:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"109",2009-10-05 12:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"110",2009-10-05 13:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"111",2009-10-05 14:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"112",2009-10-05 15:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"113",2009-10-05 16:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"114",2009-10-05 17:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"115",2009-10-05 18:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"116",2009-10-05 19:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"117",2009-10-05 20:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"118",2009-10-05 21:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"119",2009-10-05 22:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"120",2009-10-05 23:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"121",2009-10-06 00:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"122",2009-10-06 01:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"123",2009-10-06 02:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"124",2009-10-06 03:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"125",2009-10-06 04:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"126",2009-10-06 05:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"127",2009-10-06 06:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"128",2009-10-06 07:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"129",2009-10-06 08:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"130",2009-10-06 09:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"131",2009-10-06 10:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"132",2009-10-06 11:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"133",2009-10-06 12:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"134",2009-10-06 13:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"135",2009-10-06 14:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"136",2009-10-06 15:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"137",2009-10-06 16:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"138",2009-10-06 17:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"139",2009-10-06 18:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"140",2009-10-06 19:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"141",2009-10-06 20:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"142",2009-10-06 21:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"143",2009-10-06 22:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"144",2009-10-06 23:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"145",2009-10-07 00:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"146",2009-10-07 01:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"147",2009-10-07 02:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"148",2009-10-07 03:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"149",2009-10-07 04:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"150",2009-10-07 05:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"151",2009-10-07 06:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"152",2009-10-07 07:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"153",2009-10-07 08:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"154",2009-10-07 09:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"155",2009-10-07 10:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"156",2009-10-07 11:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"157",2009-10-07 12:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"158",2009-10-07 13:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"159",2009-10-07 14:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"160",2009-10-07 15:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"161",2009-10-07 16:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"162",2009-10-07 17:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"163",2009-10-07 18:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"164",2009-10-07 19:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"165",2009-10-07 20:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"166",2009-10-07 21:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"167",2009-10-07 22:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"168",2009-10-07 23:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"169",2009-10-08 00:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"170",2009-10-08 01:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"171",2009-10-08 02:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"172",2009-10-08 03:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"173",2009-10-08 04:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"174",2009-10-08 05:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"175",2009-10-08 06:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"176",2009-10-08 07:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"177",2009-10-08 08:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"178",2009-10-08 09:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"179",2009-10-08 10:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"180",2009-10-08 11:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"181",2009-10-08 12:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"182",2009-10-08 13:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"183",2009-10-08 14:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"184",2009-10-08 15:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"185",2009-10-08 16:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"186",2009-10-08 17:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"187",2009-10-08 18:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"188",2009-10-08 19:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"189",2009-10-08 20:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"190",2009-10-08 21:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"191",2009-10-08 22:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"192",2009-10-08 23:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"193",2009-10-09 00:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"194",2009-10-09 01:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"195",2009-10-09 02:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"196",2009-10-09 03:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"197",2009-10-09 04:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"198",2009-10-09 05:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"199",2009-10-09 06:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"200",2009-10-09 07:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"201",2009-10-09 08:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"202",2009-10-09 09:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"203",2009-10-09 10:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"204",2009-10-09 11:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"205",2009-10-09 12:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"206",2009-10-09 13:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"207",2009-10-09 14:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"208",2009-10-09 15:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"209",2009-10-09 16:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"210",2009-10-09 17:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"211",2009-10-09 18:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"212",2009-10-09 19:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"213",2009-10-09 20:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"214",2009-10-09 21:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"215",2009-10-09 22:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"216",2009-10-09 23:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"217",2009-10-10 00:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"218",2009-10-10 01:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"219",2009-10-10 02:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"220",2009-10-10 03:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"221",2009-10-10 04:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"222",2009-10-10 05:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"223",2009-10-10 06:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"224",2009-10-10 07:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"225",2009-10-10 08:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"226",2009-10-10 09:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"227",2009-10-10 10:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"228",2009-10-10 11:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"229",2009-10-10 12:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"230",2009-10-10 13:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"231",2009-10-10 14:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"232",2009-10-10 15:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"233",2009-10-10 16:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"234",2009-10-10 17:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"235",2009-10-10 18:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"236",2009-10-10 19:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"237",2009-10-10 20:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"238",2009-10-10 21:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"239",2009-10-10 22:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"240",2009-10-10 23:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"241",2009-10-11 00:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"242",2009-10-11 01:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"243",2009-10-11 02:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"244",2009-10-11 03:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"245",2009-10-11 04:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"246",2009-10-11 05:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"247",2009-10-11 06:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"248",2009-10-11 07:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"249",2009-10-11 08:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
